V101,gender,educ,race,pid7,pid3,ideo5,emote,treatd,lovec,auth,purity,math,weak,unfair,betray,conform,disgust,cruel,rights,loyal,chaos,goddis,compat,treatf,proudc,authc,nodisgust,dogood,hurt,justice,loyalf,roles,notnat,kill,rich,team,obey,chaste,religattend,income,age,state,zip,county,inputstate
163355821,1,3,1,5,3,4,,,4,4,4,3,4,,,,5,,5,5,,,,5,,,5,5,,,4,,,,1,4,5,2,3,,56,MA,2482,Norfolk MA,25
163363813,2,5,4,,1,3,4,5,4,4,,,,5,3,2,,3,,,,,3,,6,,,6,6,6,3,,,2,,,5,,6,11,55,CA,90042,Los Angeles CA,6
163367644,1,1,1,4,3,,2,,,,2,,3,5,,,,5,5,,5,1,,6,6,5,,6,,5,4,,,,1,,4,,6,10,57,NH,3844,Rockingham NH,33
163369216,2,3,1,,,,,3,3,,,3,,,,3,,3,3,,3,3,4,4,4,,,4,,,,,4,4,4,,4,,5,3,20,UT,84041,Davis UT,49
163379465,2,5,1,3,3,1,,,,3,,1,,5,5,2,,6,,3,,2,6,6,,,,6,,6,2,,,2,1,1,,,6,2,60,TN,37917,Knox TN,47
163383444,2,5,1,3,3,2,,,3,6,,4,6,5,,,4,,,,5,4,,,3,5,,6,,4,4,3,,3,,,,4,5,6,47,ID,83201,Bannock ID,16
163389787,2,3,1,5,3,3,3,3,4,3,,,4,,2,,,,4,3,,,4,3,,3,,5,,4,,4,3,3,,,,,4,4,60,MT,59860,Lake MT,30
163395994,2,3,2,1,1,3,,,,3,3,3,3,,3,,,3,,3,3,,4,4,4,,,4,4,4,4,,4,,,,,,3,4,25,TX,77004,Harris TX,48
163398601,2,2,3,2,1,3,6,6,6,,,1,6,,6,,6,6,,,,,,,5,6,4,,,5,4,,4,5,,5,,,5,4,44,NJ,7065,Union NJ,34
163399858,2,2,1,3,,3,4,,3,,5,2,,5,,,5,,5,,,4,5,,5,6,5,,6,5,,,,,,,6,5,6,3,59,NY,14067,Niagara NY,36
163399974,2,2,3,7,2,5,5,4,5,,,4,5,5,,,,,,4,5,,6,,,,,,6,,6,6,,,,,,,5,6,58,CO,80112,Arapahoe CO,8
163399992,1,4,1,1,1,2,3,,,2,2,,,5,,2,,,,2,6,1,5,6,,,2,,,,,5,1,,,3,6,1,6,9,63,OK,74403,Muskogee OK,40
163404696,2,5,2,1,1,4,,,,2,3,4,3,4,3,,,,,,3,2,5,3,,5,4,,,,5,4,,,4,,5,,2,4,49,PA,15906,Cambria PA,42
163419395,1,3,1,6,2,4,4,5,,,6,,,5,6,4,,,5,6,,,,6,6,,5,,6,,,,5,1,,,5,4,6,4,60,CA,96022,Tehama CA,6
163421188,2,6,3,2,1,2,4,5,,,4,,4,,,,,,,,,,,,5,4,3,5,6,,,,1,3,1,,,,6,,50,NJ,7450,Bergen NJ,34
163425431,2,4,3,6,2,2,5,,5,,5,,,5,4,,,5,5,,,4,,,,,,,6,6,5,6,6,,1,5,6,,6,2,65,TX,78411,Nueces TX,48
163437301,2,6,3,7,2,4,4,,,4,4,,,,4,,4,,4,4,,4,,4,4,4,,,,,4,,,4,,4,4,4,3,12,43,TX,77546,Galveston TX,48
163446781,1,3,1,7,2,4,1,1,1,,5,1,,,,1,1,,,,,1,,4,,6,,5,6,5,2,,,1,1,,,,5,3,62,TX,77042,Harris TX,48
163450486,2,2,3,4,3,3,5,,,,5,,,5,4,3,4,,6,,,3,6,,,6,,6,,6,,,3,,,3,4,3,4,6,43,CA,90242,Los Angeles CA,6
163457478,2,3,1,6,2,4,6,3,6,,6,,3,6,,,6,,,,6,,,6,,6,6,,,6,4,5,5,,,,,6,6,,69,NV,89052,Clark NV,32
163478278,2,6,1,3,3,2,,,,5,4,1,5,5,,,3,,6,,,2,,,,,3,6,6,,,,3,,3,2,5,3,2,3,29,NC,28212,Mecklenburg NC,37
163497429,1,6,1,1,1,1,4,,2,,3,1,,6,4,,,,6,,,1,4,6,3,,,,,6,4,,1,,6,,4,,4,12,60,PA,15243,Allegheny PA,42
163517573,2,5,1,7,2,4,5,4,5,5,6,,,6,,,,,,,5,5,5,6,6,,6,6,,6,,,6,,1,,,,2,7,64,FL,32714,Seminole FL,12
163530234,2,5,3,2,1,2,,,2,5,,,6,5,4,,,5,5,,,4,,6,,,4,6,6,,3,,2,,,,4,5,5,8,35,FL,32803,Orange FL,12
163531612,1,6,1,1,1,2,4,5,,1,,1,,5,1,,,,6,2,,,,,,4,1,6,,4,,1,,1,,1,,3,1,,44,MA,2143,Middlesex MA,25
163537495,1,5,1,7,2,4,,,5,5,4,,,5,5,4,4,,5,,,,,6,,,3,6,5,5,,,3,,1,,4,,2,15,46,IA,52722,Scott IA,19
163537769,2,3,1,7,2,3,3,,4,,,4,4,,,3,4,,4,3,,,6,,,,6,6,6,,6,4,4,,,,,4,1,3,66,SD,57701,Pennington SD,46
163537786,2,2,1,2,1,2,,3,,3,,,,,,3,2,2,4,4,,,,,,3,,,,3,4,4,3,3,,,3,3,4,1,22,FL,34786,Orange FL,12
163554994,2,3,1,6,2,5,,,,3,6,3,,6,6,,,6,6,,6,,,6,6,5,,6,6,2,,,,,,3,6,,2,,57,CT,6039,Litchfield CT,9
163562279,2,5,1,5,3,3,,,4,4,,2,3,4,4,,,,2,,,2,,,,,3,6,6,5,4,2,,,,,3,3,6,11,57,CA,94507,Contra Costa CA,6
163581941,1,2,1,1,1,2,5,5,,6,,4,5,,6,4,5,,,,,,6,6,,,5,6,,,4,,,,,4,5,4,5,8,65,NJ,8554,Burlington NJ,34
163587514,2,2,2,1,1,2,,4,5,,4,2,,,,,,5,,5,5,5,,4,5,5,,6,,,,,,,,,,,2,1,41,GA,30094,Rockdale GA,13
163589563,1,5,2,1,1,1,,6,,,6,,4,6,6,,,,6,5,,1,5,6,,,3,6,,6,6,,,,,,3,4,6,8,32,AR,72143,White AR,5
163596854,1,2,1,6,2,4,,,,,,,2,2,2,,2,5,,5,5,5,,,,6,6,4,,6,6,6,,,,1,,6,1,,41,GA,30248,Henry GA,13
163637971,1,5,1,6,2,4,2,4,3,3,4,1,1,3,1,1,1,1,3,1,1,1,3,6,6,4,1,4,6,4,1,1,1,6,1,1,4,1,6,15,55,CA,90025,Los Angeles CA,6
163638065,1,4,7,7,2,3,,6,6,6,,,,6,,,6,,,5,6,5,5,,4,,3,,,5,,,3,1,,2,4,,5,9,55,MS,39452,George MS,28
163653200,2,4,1,1,1,1,,6,4,,,4,6,6,,,,,,4,5,1,6,6,5,6,4,,5,,,,,,6,,6,,6,,64,NC,28779,Jackson NC,37
163662065,1,4,2,1,1,3,3,,,,4,,4,,4,3,,,,3,3,3,,6,,,,,6,6,4,,6,,1,,6,6,2,6,62,VA,23323,Chesapeake city VA,51
163664381,2,2,4,1,1,3,,5,5,,,1,4,5,,3,5,,6,,,,,,,6,,6,1,,,5,4,1,4,2,,,6,9,67,IN,47990,Montgomery IN,18
163672857,2,2,1,7,2,2,4,4,4,,,4,4,,4,,4,,,,,4,4,,4,,,,4,4,1,,,1,1,,4,,6,3,61,MD,21133,Baltimore MD,24
163676957,2,5,2,1,1,3,,,3,5,,2,,6,,2,4,,6,,,5,3,,,,,,3,5,1,,,2,1,2,,6,4,8,57,SC,29360,Laurens SC,45
163679856,1,6,1,5,3,4,3,2,2,,2,2,2,,,,2,2,,,,,2,,,,3,,3,3,2,,,2,2,,,2,5,12,71,PA,19147,Philadelphia PA,42
163681052,2,6,2,1,1,3,,,,3,,,3,,3,,3,,6,6,6,6,,,,3,,,4,,,1,,3,6,4,2,3,5,4,25,NC,27610,Wake NC,37
163685221,1,2,1,7,2,4,1,1,,4,4,1,,,,,2,5,,2,,,1,,,5,,6,,5,2,,,1,1,,,1,6,8,68,NE,68137,Douglas NE,31
163689221,2,4,1,7,2,5,,,,5,6,2,,,,5,5,,6,5,6,,6,,6,6,,6,,,5,,,6,,2,,6,1,,59,NM,88101,Curry NM,35
163689332,2,2,2,1,1,3,3,5,5,,,1,,4,,,,5,,,4,1,4,,,6,6,,6,,,2,4,5,1,,,,5,6,73,MI,48202,Wayne MI,26
163689456,2,1,1,4,,3,,5,4,,,,6,6,,,4,,6,6,,1,,,,5,1,6,6,4,,,1,,1,,,2,6,6,30,CA,93422,San Luis Obispo CA,6
163702044,2,3,1,7,2,5,3,3,3,4,,3,,3,,,,4,,4,,,,,6,6,,6,,,4,3,,2,,2,,6,2,6,59,KS,66801,Lyon KS,20
163705773,1,2,1,3,3,4,4,,,4,,,,5,,5,,,,,,,,,5,,,,5,,4,3,,,3,5,5,5,2,6,74,MN,55805,St. Louis MN,27
163706098,1,2,1,3,3,3,3,,,5,6,1,5,,,2,,4,,,5,,5,,5,,,6,,,6,2,,,4,3,6,,5,4,38,IA,50677,Bremer IA,19
163709301,2,2,1,6,2,3,,3,,,5,1,,,,4,5,,3,2,,4,5,,4,,,,5,,4,3,4,5,,,,4,5,6,48,FL,34205,Manatee FL,12
163709750,2,5,2,3,3,1,6,4,,1,2,1,,,,,3,6,,,6,,,4,,,4,,5,,,3,4,,5,,1,6,6,1,24,CA,92262,Riverside CA,6
163713988,2,2,2,1,1,1,1,,1,1,,,1,,3,3,,3,,,3,,,,5,,6,,6,,,6,6,,,3,5,5,3,3,27,NC,27612,Wake NC,37
163721988,1,3,1,5,3,2,3,3,3,3,,,,,,,3,3,3,3,,,,3,,,,3,,3,3,3,,,3,3,,3,4,11,23,CA,90266,Los Angeles CA,6
163724624,2,3,1,1,1,1,6,,,,,1,6,6,6,6,6,,,6,,,,6,6,,6,6,6,6,,,6,,,,,6,4,3,60,IN,47905,Tippecanoe IN,18
163733932,1,3,2,2,1,2,,6,,,6,2,4,,,4,6,,6,4,,,,6,,6,,,,6,3,6,,6,,5,5,,5,7,45,IL,60064,Lake IL,17
163733935,2,2,1,1,1,1,4,4,,,,2,2,,,3,3,,,3,3,,,4,4,6,,6,,,4,,,,,3,5,1,6,4,27,FL,32176,Volusia FL,12
163738040,2,1,2,2,1,,5,,,5,,2,,5,6,2,,5,,,6,,5,,,6,6,,5,,6,,,6,2,,4,,3,1,35,DE,19977,Kent DE,10
163745204,1,5,1,7,2,5,3,,6,3,,,5,5,5,,,5,,,,2,4,5,6,,,,1,,,,1,,,1,2,1,5,9,56,NH,3868,Strafford NH,33
163760161,2,5,3,2,1,2,5,,4,6,,3,5,,5,5,,,5,,,,5,5,4,4,6,6,5,5,,,,,,,,,6,9,54,CA,91741,Los Angeles CA,6
163763631,1,3,1,4,,,4,5,5,,4,,,,,4,5,,,4,4,,,6,,,6,,,,,1,4,6,3,,3,4,6,4,35,OH,43701,Muskingum OH,39
163766980,2,4,3,5,3,3,,,5,,5,,,5,,5,6,6,,,6,6,,,6,,6,,,,6,1,,6,3,1,6,,5,8,55,NJ,7828,Morris NJ,34
163798234,1,3,6,1,1,1,2,,,2,,,4,,,3,,,5,3,2,1,,,4,,,5,,4,6,,4,,3,,4,2,6,11,57,CA,93004,Ventura CA,6
163805162,2,2,1,1,1,2,,2,,,2,,,5,,1,,5,4,5,,1,5,,,,,,,6,6,1,1,,,1,5,2,5,1,48,OR,97215,Multnomah OR,41
163825576,1,2,1,7,2,5,6,6,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,3,1,5,1,6,1,5,64,CO,80501,Boulder CO,8
163861569,1,5,1,6,2,4,4,,,,,5,,,,4,,3,5,3,3,2,,6,,5,,6,,,6,2,5,,3,,,5,4,9,51,NY,10308,Richmond NY,36
163863175,1,5,1,3,3,2,5,6,2,3,2,1,2,4,4,4,4,5,4,2,4,1,6,1,5,4,6,6,6,4,1,2,1,3,1,1,1,1,6,,63,FL,34293,Sarasota FL,12
163895018,1,5,1,2,1,3,,,,,4,2,,,5,,4,5,,5,5,4,6,6,,,6,,,6,4,,,,,5,5,3,5,14,51,DC,20037,District of Columbia DC,11
163895694,2,5,1,3,3,1,,,1,1,6,1,,6,,,,4,,2,1,,,6,,,2,6,,,,1,,3,,2,2,2,5,4,76,VT,5495,Chittenden VT,50
163901875,1,5,1,6,2,4,,,4,4,,4,,,4,5,5,,,,5,6,,4,,6,,6,3,,,4,,,,4,4,5,2,2,23,WA,99163,Whitman WA,53
163904910,2,5,1,4,3,3,,3,2,,,,,,4,,,5,4,4,5,2,,,5,4,4,,,2,2,,4,,3,,,5,4,7,39,AZ,85032,Maricopa AZ,4
163904941,2,5,2,1,1,,2,3,,,3,,,,,3,3,3,,,3,3,3,3,2,3,,,3,,,,3,,3,4,,,5,10,41,NJ,7104,Essex NJ,34
163913824,1,5,1,4,3,3,,,1,4,2,1,1,,1,,1,,,,,1,4,5,5,,,,,5,,4,,,1,2,,4,4,,58,NC,27540,Wake NC,37
163928669,2,3,1,6,2,4,,4,,,,2,,,3,2,,,3,2,4,5,2,3,6,,6,6,,,6,5,,,,,,4,4,13,52,OH,44685,Stark OH,39
163941722,2,2,1,3,,3,4,,5,6,,,5,6,5,4,,,,,,1,,,6,6,,,6,,4,5,5,6,,,5,,6,3,77,OR,97501,Jackson OR,41
163972676,2,2,1,2,1,,6,,,6,,6,,6,,6,,6,,,6,6,3,3,,3,,,3,3,,3,,,,3,3,,2,11,48,LA,70072,Jefferson Parish LA,22
163990458,2,1,1,4,3,,3,3,,,2,1,3,,4,,,5,5,,,,,6,4,,5,,6,,,5,5,,2,3,,,5,1,41,MN,56567,Otter Tail MN,27
163990578,2,3,1,,,2,3,3,3,3,3,,,,3,,,,,,3,3,,,3,3,,3,3,,3,,,3,3,,,3,2,10,19,IL,60634,Cook IL,17
163997747,1,5,1,4,,3,,4,2,,,1,,,5,4,,5,5,,5,,4,6,,,,,,5,6,2,2,,,,6,2,4,11,23,CA,93101,Santa Barbara CA,6
163997918,1,2,3,3,3,,,4,,4,,2,3,5,,1,,6,,5,,,,,,5,,,6,4,,,,4,4,1,6,2,5,2,36,CA,92025,San Diego CA,6
163998058,2,2,1,3,3,1,,,1,,3,1,5,,2,,,,6,,3,1,6,,,4,2,,,,,1,1,4,,3,3,,6,3,26,PA,17238,Fulton PA,42
164009561,2,2,1,1,1,1,,3,3,,,3,,3,3,,,3,3,3,,,,5,,5,1,,,3,5,5,,4,,2,,,5,1,24,FL,32502,Escambia FL,12
164009730,1,2,2,2,1,3,,6,,6,6,1,,,1,1,,,,1,,6,6,6,,6,6,6,,5,1,4,,,,,,,2,4,57,MI,48227,Wayne MI,26
164017427,2,5,1,2,1,3,5,6,3,,,1,,6,,2,,,6,,,4,5,,,4,,,5,,5,5,3,6,,,4,,4,10,22,IL,60188,DuPage IL,17
164018829,2,2,1,1,1,3,,6,3,6,,,6,,6,6,,6,,,,6,6,,5,1,,6,,4,,3,,,1,6,,,5,6,45,AZ,85745,Pima AZ,4
164028428,2,2,1,6,2,4,4,,4,5,5,3,6,,,,,,,,5,4,5,,6,4,5,,5,,4,,5,,3,,,,6,6,52,KS,67736,Gove KS,20
164028882,1,2,1,6,2,4,,4,5,5,5,2,,5,,,5,,,,,4,,6,5,6,,,5,5,6,4,,2,,,,,6,10,49,CT,6484,Fairfield CT,9
164031249,1,5,1,7,2,5,,,,,6,,,6,5,,5,,4,2,2,6,5,6,6,6,6,,5,5,,,,3,,,,,1,7,63,OK,74014,Wagoner OK,40
164038584,1,3,1,5,,4,5,,,,,3,4,,6,5,4,,5,,,6,,5,4,5,,6,,,5,3,,1,,,,5,2,4,25,TN,37375,Franklin TN,47
164038611,2,2,1,7,2,4,,4,4,3,4,3,,,,3,4,,,,4,,4,5,6,6,,,,,4,4,5,,,,,5,3,,61,NC,28697,Wilkes NC,37
164038699,2,2,1,5,,3,5,,5,5,5,,4,5,,4,,4,,,,,,,6,6,5,6,,,,,5,5,4,4,,,5,2,55,TX,77034,Harris TX,48
164054450,2,1,2,1,1,3,,,,,,3,3,3,3,3,3,3,3,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,2,50,IL,60636,Cook IL,17
164064312,1,3,1,4,,4,1,4,4,,,,,,4,,1,,5,5,,3,,1,2,,,,,6,5,5,6,1,,,,6,2,2,28,CA,95032,Santa Clara CA,6
164082139,2,2,1,4,3,1,,1,,5,,,,,6,4,,4,,6,4,4,,,6,,,,6,6,,6,6,6,,,5,6,4,6,70,NY,12582,Dutchess NY,36
164101117,1,2,1,7,2,4,,3,3,3,3,,3,,,,,3,4,,,2,3,2,,,,3,,3,,,3,3,3,,3,,2,11,57,IA,52333,Johnson IA,19
164128858,2,3,1,6,2,4,4,,3,2,5,1,5,,,,,,,,5,4,4,,,,5,6,2,4,3,,,,,3,,6,2,7,29,NV,89005,Clark NV,32
164134216,1,2,1,6,2,4,,,2,,4,2,5,3,4,,,4,,4,,,,,5,4,5,6,,,,,,,5,3,3,4,2,4,31,MI,48756,Ogemaw MI,26
164144289,1,2,1,1,1,3,,,,,6,1,,,6,3,3,6,,5,,5,5,6,,,,6,,5,,4,,4,1,,4,,1,4,50,IN,47302,Delaware IN,18
164144436,1,2,1,5,3,4,2,4,4,,,1,,,,3,5,5,,4,,,4,5,5,6,,,3,3,3,,,,1,,,,1,6,71,GA,31211,Bibb GA,13
164144718,1,2,1,3,3,3,4,5,5,4,,,5,,,,,,6,,5,4,6,6,,,5,6,6,6,,,,5,,5,,,2,7,74,AZ,85331,Maricopa AZ,4
164144805,2,2,1,3,3,1,,5,,,,4,,5,5,,,5,5,3,,2,,,,,1,6,6,5,1,2,,,4,,,1,6,3,25,TX,76301,Wichita TX,48
164149446,2,3,1,3,3,2,4,,4,,,1,,,4,,1,4,5,4,,,4,5,,5,,5,3,,,,,4,3,,3,,3,6,18,NC,28341,Sampson NC,37
164149567,1,2,1,6,2,4,6,,,,6,1,5,6,,6,,,,6,6,,,,6,,4,,6,4,6,,,,2,2,,1,6,3,30,CA,93465,San Luis Obispo CA,6
164149628,1,2,1,2,1,4,3,,,,3,3,3,,3,,3,,,,3,3,4,,5,4,,4,,,4,4,4,,,,4,,2,7,66,CO,80112,Arapahoe CO,8
164149648,2,2,1,5,,3,5,,,5,,,6,,5,4,,6,,5,6,,,5,,,,,,6,2,5,,,1,3,6,4,2,8,44,IL,60133,Cook IL,17
164153057,2,2,1,,3,3,,,5,,,4,,5,,5,,5,6,4,,4,6,6,,,4,,6,,,,4,6,3,4,,,5,2,52,CA,90650,Los Angeles CA,6
164154327,2,3,1,2,1,,4,,3,,,,4,5,3,,,,4,,3,4,,,5,,,6,5,5,,4,5,,,1,4,,5,,20,OH,44125,Cuyahoga OH,39
164154576,2,2,1,7,2,4,6,6,,,,,6,6,,,6,,,6,5,5,6,,6,6,,6,,,,,6,6,5,,,6,6,,62,FL,33904,Lee FL,12
164164502,1,2,1,,3,3,4,,3,3,,1,,,,1,,5,,4,,5,,,,,3,,,3,,2,,5,4,3,4,2,3,9,56,MA,2777,Bristol MA,25
164170200,2,3,1,3,,,4,,,4,,,,,4,,,4,5,4,4,4,,5,,5,,,,,,5,5,6,5,4,5,,5,4,33,MI,48877,Gratiot MI,26
164178184,1,4,1,7,2,4,1,1,3,,,4,,5,,,1,5,4,,,,1,2,6,5,,,6,,,5,,,1,1,,,6,7,51,PA,18015,Northampton PA,42
164183540,1,2,1,6,2,4,4,,5,5,,,,,6,,,6,4,,6,4,5,,6,,6,,6,,,3,,,3,5,6,,5,6,52,VA,24343,Carroll VA,51
164200733,2,2,1,1,1,,4,5,,,4,,,4,,,4,,4,,4,4,,6,6,6,6,6,,,,6,,,3,3,,,5,3,49,MO,63755,Cape Girardeau MO,29
164204426,1,2,1,2,1,4,,,,4,,,3,4,4,4,4,4,5,,,,,5,6,,5,5,4,5,,,4,4,,,,,5,6,64,VA,24572,Amherst VA,51
164212701,2,2,1,,3,2,3,4,4,,4,2,,,4,3,,,,,4,,5,6,,,,,,6,,5,5,6,,2,6,,6,2,65,GA,31907,Muscogee GA,13
164215704,1,3,1,6,2,3,,3,4,4,,,4,4,,,,,,4,4,3,,,,,4,6,,,,4,5,,5,5,4,4,4,8,20,NY,11782,Suffolk NY,36
164216973,2,5,3,6,2,4,,,4,,,2,,4,,4,,5,5,,5,5,4,,,,5,6,,,3,4,,2,,3,6,,4,8,30,FL,33035,Miami-Dade FL,12
164217430,2,4,1,7,2,5,,6,,,6,6,,,1,1,1,,1,1,,,4,,5,,,,6,4,1,,,,1,4,4,,6,10,51,PA,15236,Allegheny PA,42
164219029,2,2,1,6,2,3,1,,,1,1,,,,1,6,,,6,,6,6,,6,,6,,6,6,6,6,,,,6,,,6,4,4,60,PA,17111,Dauphin PA,42
164225778,2,3,1,2,1,2,,5,4,,,,,,5,3,3,6,,,4,2,,6,,,,,6,4,5,,4,,2,,4,2,5,6,20,FL,33326,Broward FL,12
164230361,2,3,3,3,,,4,,3,,3,3,,,3,3,,,3,,,,4,5,4,,2,6,5,,3,,4,,,,,,5,,25,CA,90042,Los Angeles CA,6
164245726,2,2,1,1,1,1,,5,6,,,2,5,,,,,5,6,5,,1,,5,,4,3,,,5,,,2,,,1,5,2,5,,18,CA,93535,Los Angeles CA,6
164249432,2,2,1,5,3,4,5,4,5,,,1,,,,,,,,,,,6,,,,,,,,6,6,,6,2,3,5,6,2,3,80,IA,51601,Page IA,19
164251186,1,1,1,5,,5,5,3,5,,5,,,4,3,5,,,,4,,,4,1,,4,4,,,,3,4,4,2,,,,,5,5,61,TX,76017,Tarrant TX,48
164293601,2,2,1,7,2,5,,5,6,6,,1,,,6,,,,3,,5,6,,6,6,6,,,,,4,,6,5,,1,6,,5,10,66,NE,68133,Sarpy NE,31
164296751,1,2,1,7,2,4,1,4,4,,,,4,,5,2,5,,,,,6,,1,,,1,1,1,5,,,,3,1,2,,,1,5,64,NV,89031,Clark NV,32
164305394,1,2,1,6,2,3,,4,6,5,,,5,,5,4,5,,5,,,,,,6,6,,6,5,6,6,,,,1,,,5,2,9,68,NJ,8037,Atlantic NJ,34
164309723,2,4,3,2,1,2,4,4,3,,,,,4,,4,,,4,,4,4,4,5,,,5,5,4,4,,,,,,3,,4,2,9,24,NY,10591,Westchester NY,36
164309899,2,3,1,4,3,3,3,,3,,3,,3,3,3,,,,3,3,,,3,3,4,3,,,,,,,,3,3,,3,3,2,6,26,MI,49082,Branch MI,26
164309951,1,2,1,2,1,2,3,,,4,5,1,,,3,,,5,6,2,,,,,4,4,,5,,5,2,,,6,,3,4,,5,9,64,WA,98374,Pierce WA,53
164309955,2,2,1,4,,,,5,,,5,,5,5,,2,,5,5,,5,,,6,3,6,,,6,6,,6,,,,1,,6,1,4,60,AR,72653,Baxter AR,5
164314611,1,2,2,7,2,4,5,,,5,6,1,,,,,,,,,,,6,6,5,,6,,6,,4,,,3,,5,,,3,11,65,NY,10033,New York NY,36
164318859,1,2,3,1,1,4,,5,,5,,,5,5,,4,,5,5,,,4,,6,,6,5,,6,,3,5,4,,,4,,,4,8,53,MI,48195,Wayne MI,26
164319034,2,3,1,4,3,3,,6,,,,1,,4,,2,2,,4,4,5,,,6,2,,3,6,,5,,2,,,2,,2,,4,6,28,WI,53405,Racine WI,55
164323008,1,2,1,1,1,2,,,3,,5,,5,,6,,,,,,,,,,,6,,6,,,,5,1,2,,3,4,2,5,6,70,IL,61353,Lee IL,17
164333389,2,2,1,7,2,4,4,,5,,,,4,,6,,5,,,6,5,5,,4,,6,5,6,,,,6,6,2,,,6,,5,5,80,UT,84780,Washington UT,49
164341258,1,2,1,3,3,3,2,,,,2,1,,,4,1,,4,,,4,1,,,5,6,,6,5,,,,1,1,2,,4,,6,9,40,CA,90250,Los Angeles CA,6
164341317,1,2,1,2,1,2,,,4,4,,4,,4,3,,3,,,,3,3,6,,4,,4,,,4,,,4,,3,,1,6,5,4,41,IL,60618,Cook IL,17
164344963,2,3,1,3,,2,,5,3,,5,4,5,,6,,3,5,,,,,,,1,,,6,5,,5,4,,,5,4,,2,6,5,29,MI,48310,Macomb MI,26
164352977,2,2,1,1,1,3,,4,3,2,,4,,,,,,,,,,,4,,5,5,2,,,,6,,,6,5,,,6,4,6,60,WI,54162,Shawano WI,55
164353413,1,3,1,,,,4,,4,,,1,3,3,3,,,,3,3,,,,4,4,6,,,4,4,,4,,,,4,4,,5,4,28,GA,31558,Camden GA,13
164358071,2,5,1,1,1,3,4,6,5,5,5,2,2,5,5,3,6,6,6,5,6,4,5,5,3,6,5,6,6,6,5,2,4,6,4,5,5,2,6,10,64,OK,74066,Creek OK,40
164361900,1,5,1,5,3,4,1,,,,,,1,1,1,,3,3,,2,6,,,1,6,,,,,,4,6,,,1,3,5,6,2,13,52,MO,64089,Clay MO,29
164364347,2,3,1,3,3,3,6,6,,4,,1,,5,,,2,,,4,5,,,,,6,,,,5,5,1,3,,1,,6,5,6,3,41,MA,1463,Middlesex MA,25
164365338,2,2,1,7,2,5,,4,,3,,1,5,4,,2,2,,,4,,,,3,6,6,,,,4,5,,4,4,4,,,,2,3,26,MD,21771,Frederick MD,24
164372806,2,2,1,4,3,3,,6,,6,,1,6,6,6,,,,6,,,6,,,6,6,,,6,5,5,5,,,1,2,,,4,5,71,SC,29630,Pickens SC,45
164372956,2,2,2,1,1,4,4,,,,3,4,,,,,4,5,4,,4,5,4,,6,2,1,5,,,,4,,,1,5,,,2,6,43,TX,77340,Walker TX,48
164380496,2,2,1,5,3,3,,,,,4,,4,5,,3,5,,6,4,,5,,6,,5,,6,,5,,,5,,1,3,,5,5,4,67,IL,61071,Whiteside IL,17
164380498,1,2,1,,,,4,,5,5,,1,,,5,,1,,6,,,6,,5,6,,,,5,,,2,4,,,4,6,3,4,6,60,DE,19804,New Castle DE,10
164392644,2,1,1,2,1,,4,4,,4,,1,3,,,,,4,,3,4,,,,4,5,,5,,3,,4,,4,4,,,3,5,,59,AZ,85023,Maricopa AZ,4
164392704,2,5,1,4,,4,,,4,,5,2,3,4,,5,,,,,3,5,,,,6,4,,,3,3,6,4,,3,,,6,2,2,27,UT,84721,Iron UT,49
164396494,1,2,2,2,1,,4,4,,,,,2,,,,1,,6,2,5,1,,,,6,1,5,2,,,5,,2,,,6,3,4,,25,MD,21076,Anne Arundel MD,24
164412173,2,2,1,2,1,2,,6,,4,,,5,6,,2,5,6,,4,,,,5,,5,,6,6,5,,4,4,,,3,,,4,6,31,TX,76123,Tarrant TX,48
164432611,2,5,1,7,2,5,,,,,4,1,,4,5,2,,5,5,,,5,,,,6,5,5,,6,2,5,,,1,,,5,3,,53,MI,49301,Kent MI,26
164436906,1,2,1,4,,,3,3,,3,,3,,,,3,3,,3,,3,,,,,,3,3,3,3,3,3,,,,3,3,,,6,42,ND,58801,Williams ND,38
164437894,2,4,1,3,3,3,4,5,,6,4,4,,,5,4,,,,,,3,,,5,6,,,,,3,5,,5,4,5,,5,4,11,55,AR,72201,Pulaski AR,5
164447049,1,2,1,2,1,4,,3,,,3,3,,,,3,3,3,,,3,3,4,,,,,4,,6,3,,3,,1,,6,4,5,7,74,NV,89130,Clark NV,32
164462127,2,2,1,2,1,2,5,4,,,4,,5,,,,5,5,,5,5,,,1,5,6,,,,,3,4,5,6,,,6,,2,3,67,MN,55044,Dakota MN,27
164470032,2,3,1,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,6,5,6,6,5,6,6,4,2,4,2,4,5,,1,33,MS,38654,DeSoto MS,28
164481371,2,2,1,2,1,3,,,3,,3,3,,3,3,3,,,3,3,,,4,,4,,,4,,,,4,4,4,4,,,4,5,5,29,IL,60007,Cook IL,17
164508883,2,5,1,7,2,5,,,5,5,,,5,5,3,3,4,,,,,6,,4,,,5,,5,,,1,6,2,,4,5,,4,10,46,TX,76542,Bell TX,48
164529562,2,1,1,,,,,4,,,4,,,4,4,,4,,4,4,,4,4,,5,,4,5,6,,,,,,4,5,6,,6,3,38,OH,43725,Guernsey OH,39
